SampleNumber,SampleName,library_ID,Accession,BioProject,filename,filename2
114257,MH3065,MH3065_A,SAMN12610200,PRJNA561158,114257.1.1.fastq.gz,114257.2.1.fastq.gz
114258,MH4158,MH4158_A,SAMN12610206,PRJNA561158,114258.1.1.fastq.gz,114258.2.1.fastq.gz
114259,MH10628,MH10628_A,SAMN12610172,PRJNA561158,114259.1.1.fastq.gz,114259.2.1.fastq.gz
114260,MH10360,MH10360_A,SAMN12610159,PRJNA561158,114260.1.1.fastq.gz,114260.2.1.fastq.gz
114261,MH10260,MH10260_A,SAMN12610156,PRJNA561158,114261.1.1.fastq.gz,114261.2.1.fastq.gz
114262,MH12512,MH12512_A,SAMN12610174,PRJNA561158,114262.1.1.fastq.gz,114262.2.1.fastq.gz
114263,MH12550,MH12550_A,SAMN12610176,PRJNA561158,114263.1.1.fastq.gz,114263.2.1.fastq.gz
114264,MH16139,MH16139_A,SAMN12610186,PRJNA561158,114264.1.1.fastq.gz,114264.2.1.fastq.gz
114265,MH16400,MH16400_A,SAMN12610217,PRJNA561158,114265.1.1.fastq.gz,114265.2.1.fastq.gz
114266,MH15317,MH15317_A,SAMN12610181,PRJNA561158,114266.1.1.fastq.gz,114266.2.1.fastq.gz
114267,VIC_plasmid_control1run1,VIC_plasmid_control1run1,SAMN12616731,PRJNA561158,VIC_PC11.1.1.fastq.gz,VIC_PC11.2.1.fastq.gz
114268,VIC_plasmid_control2run1,VIC_plasmid_control2run1,SAMN12616732,PRJNA561158,VIC_PC21.1.1.fastq.gz,VIC_PC21.2.1.fastq.gz
114269,YAM_plasmid_control1run1,YAM_plasmid_control1run1,SAMN12616733,PRJNA561158,YAM_PC11.1.1.fastq.gz,YAM_PC11.2.1.fastq.gz
114270,YAM_plasmid_control2run1,YAM_plasmid_control2run1,SAMN12616734,PRJNA561158,YAM_PC21.1.1.fastq.gz,YAM_PC21.2.1.fastq.gz
114272,YAM_plasmid_control2run2,YAM_plasmid_control2run2,SAMN12616735,PRJNA561158,YAM_PC22.1.1.fastq.gz,YAM_PC22.2.1.fastq.gz
114273,YAM_plasmid_control1run2,YAM_plasmid_control1run2,SAMN12616736,PRJNA561158,YAM_PC12.1.1.fastq.gz,YAM_PC12.2.1.fastq.gz
114274,VIC_plasmid_control2run2,VIC_plasmid_control2run2,SAMN12616737,PRJNA561158,VIC_PC22.1.1.fastq.gz,VIC_PC22.2.1.fastq.gz
114275,VIC_plasmid_control1run2,VIC_plasmid_control1run2,SAMN12616738,PRJNA561158,VIC_PC12.1.1.fastq.gz,VIC_PC12.2.1.fastq.gz
114276,HS3241,HS3241_A,SAMN12610139,PRJNA561158,114276.1.1.fastq.gz,114276.2.1.fastq.gz
114277,HS3240,HS3240_A,SAMN12610138,PRJNA561158,114277.1.1.fastq.gz,114277.2.1.fastq.gz
114278,HS3214,HS3214_A,SAMN12610136,PRJNA561158,114278.1.1.fastq.gz,114278.2.1.fastq.gz
114279,HS3092,HS3092_A,SAMN12610134,PRJNA561158,114279.1.1.fastq.gz,114279.2.1.fastq.gz
114280,HS2680,HS2680_A,SAMN12610132,PRJNA561158,114280.1.1.fastq.gz,114280.2.1.fastq.gz
114281,HS2524,HS2524_A,SAMN12610128,PRJNA561158,114281.1.1.fastq.gz,114281.2.1.fastq.gz
114282,HS2019,HS2019_A,SAMN12610127,PRJNA561158,114282.1.1.fastq.gz,114282.2.1.fastq.gz
114283,HS1910,HS1910_A,SAMN12610124,PRJNA561158,114283.1.1.fastq.gz,114283.2.1.fastq.gz
114284,HS1892,HS1892_A,SAMN12610122,PRJNA561158,114284.1.1.fastq.gz,114284.2.1.fastq.gz
114285,HS1846,HS1846_A,SAMN12610116,PRJNA561158,114285.1.1.fastq.gz,114285.2.1.fastq.gz
114286,HS1822,HS1822_A,SAMN12610115,PRJNA561158,114286.1.1.fastq.gz,114286.2.1.fastq.gz
114287,HS1788,HS1788_A,SAMN12610113,PRJNA561158,114287.1.1.fastq.gz,114287.2.1.fastq.gz
114288,HS1769,HS1769_A,SAMN12610112,PRJNA561158,114288.1.1.fastq.gz,114288.2.1.fastq.gz
114289,MH15236,MH15236_A,SAMN12610180,PRJNA561158,114289.1.1.fastq.gz,114289.2.1.fastq.gz
114290,MH16381,MH16381_A,SAMN12610190,PRJNA561158,114290.1.1.fastq.gz,114290.2.1.fastq.gz
114291,HS3258,HS3258_B,SAMN12610140,PRJNA561158,114291.1.1.fastq.gz,114291.2.1.fastq.gz
114292,HS3230,HS3230_B,SAMN12610137,PRJNA561158,114292.1.1.fastq.gz,114292.2.1.fastq.gz
114293,HS3171,HS3171_B,SAMN12610135,PRJNA561158,114293.1.1.fastq.gz,114293.2.1.fastq.gz
114294,HS2681,HS2681_B,SAMN12610133,PRJNA561158,114294.1.1.fastq.gz,114294.2.1.fastq.gz
114295,HS2637,HS2637_B,SAMN12610131,PRJNA561158,114295.1.1.fastq.gz,114295.2.1.fastq.gz
114296,HS2585,HS2585_B,SAMN12610130,PRJNA561158,114296.1.1.fastq.gz,114296.2.1.fastq.gz
114297,HS2574,HS2574_B,SAMN12610129,PRJNA561158,114297.1.1.fastq.gz,114297.2.1.fastq.gz
114298,HS1914,HS1914_B,SAMN12610126,PRJNA561158,114298.1.1.fastq.gz,114298.2.1.fastq.gz
114299,HS1911,HS1911_B,SAMN12610125,PRJNA561158,114299.1.1.fastq.gz,114299.2.1.fastq.gz
114300,HS1909,HS1909_B,SAMN12610123,PRJNA561158,114300.1.1.fastq.gz,114300.2.1.fastq.gz
114301,HS1884,HS1884_B,SAMN12610121,PRJNA561158,114301.1.1.fastq.gz,114301.2.1.fastq.gz
114302,HS1876,HS1876_B,SAMN12610120,PRJNA561158,114302.1.1.fastq.gz,114302.2.1.fastq.gz
114303,HS1875,HS1875_B,SAMN12610119,PRJNA561158,114303.1.1.fastq.gz,114303.2.1.fastq.gz
114304,HS1867,HS1867_B,SAMN12610118,PRJNA561158,114304.1.1.fastq.gz,114304.2.1.fastq.gz
114305,HS1848,HS1848_B,SAMN12610117,PRJNA561158,114305.1.1.fastq.gz,114305.2.1.fastq.gz
114306,HS1820,HS1820_B,SAMN12610114,PRJNA561158,114306.1.1.fastq.gz,114306.2.1.fastq.gz
114307,HS1747,HS1747_B,SAMN12610111,PRJNA561158,114307.1.1.fastq.gz,114307.2.1.fastq.gz
114308,MH16060,MH16060_B,SAMN12610185,PRJNA561158,114308.1.1.fastq.gz,114308.2.1.fastq.gz
114309,MH14026,MH14026_B,SAMN12610179,PRJNA561158,114309.1.1.fastq.gz,114309.2.1.fastq.gz
114310,MH16412,MH16412_B,SAMN12610192,PRJNA561158,114310.1.1.fastq.gz,114310.2.1.fastq.gz
114311,MH16411,MH16411_B,SAMN12610191,PRJNA561158,114311.1.1.fastq.gz,114311.2.1.fastq.gz
114312,MH16055,MH16055_B,SAMN12610184,PRJNA561158,114312.1.1.fastq.gz,114312.2.1.fastq.gz
114313,MH16279,MH16279_B,SAMN12610189,PRJNA561158,114313.1.1.fastq.gz,114313.2.1.fastq.gz
114314,MH16276,MH16276_B,SAMN12610188,PRJNA561158,114314.1.1.fastq.gz,114314.2.1.fastq.gz
114315,MH16167,MH16167_B,SAMN12610187,PRJNA561158,114315.1.1.fastq.gz,114315.2.1.fastq.gz
